neighbourhood,Aboriginal languages,Afrikaans,Afro-Asiatic languages,Akan (Twi),Albanian,Algonquian languages,American Sign Language,Amharic,Arabic,Armenian,Assyrian Neo-Aramaic,Athabaskan languages,Austro-Asiatic languages,"Austro-Asiatic languages, n.i.e",Austronesian languages,Azerbaijani,Babine (Wetsuwet'en),Baltic languages,Balto-Slavic languages,Bamanankan,Beaver,Belarusan,Bengali,Berber languages,Bikol,Bilen,Blackfoot,Bosnian,Bulgarian,Burmese,Cantonese,Carrier,Catalan,Cayuga,Cebuano,Celtic languages,Chaldean Neo-Aramaic,Chilcotin,Chinese languages,Comox,Cree-Montagnais languages,Creole languages,Croatian,Cushitic languages,Czech,Dakota,Danish,Dene,Dinka,Dogrib (Tlicho),Dravidian languages,Dutch,Eastern Algonquian languages,Edo,English,English and French,English and non-official language,"English, French and non-official language",Estonian,Ewe,Fijian,Finnish,French,French and non-official language,Frisian,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Georgian,German,Germanic languages,Gitxsan (Gitksan),Greek,Gujarati,Gwich'in,Haida,Haisla,Haitian Creole,Hakka,Halkomelem,Harari,Hebrew,Heiltsuk,Hiligaynon,Hindi,Hmong-Mien languages,Hungarian,Icelandic,Igbo,Ilocano,Indo-Aryan languages,Indo-European languages,Indo-Iranian languages,Inuinnaqtun (Inuvialuktun),Inuit languages,Inuktitut,Iranian languages,Iroquoian languages,Italian,Italic (Romance) languages,Japanese,Kabyle,Kannada,Karenic languages,Kartvelian languages,Kashmiri,Kaska (Nahani),Khmer (Cambodian),Kinyarwanda (Rwanda),Konkani,Korean,Kurdish,Kutenai,Kwakiutl (Kwak'wala),Lao,Latvian,Lillooet,Lingala,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Maltese,Mandarin,Marathi,Michif,Min Dong,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Mohawk,Mongolian,Mongolic languages,Mother tongue for the total population excluding institutional residents,Multiple responses,Nepali,Niger-Congo languages,Nilo-Saharan languages,Nisga'a,Non-Aboriginal languages,Non-official languages,North Slavey (Hare),Northern Athabaskan languages,Northern Tutchone,Norwegian,Nuu-chah-nulth (Nootka),Official languages,Ojibway-Potawatomi languages,Okanagan,Oneida,Oriya (Odia),Oromo,"Pampangan (Kapampangan, Pampango)",Pangasinan,Pashto,Persian (Farsi),Polish,Portuguese,Punjabi (Panjabi),Quebec Sign Language,Romanian,Rundi (Kirundi),Russian,Salish languages,Sarsi (Sarcee),Scottish Gaelic,Sekani,Semitic languages,Serbian,Serbo-Croatian,Shona,Shuswap (Secwepemctsin),Sign languages,"Sign languages, n.i.e",Sindhi,Single responses,Sinhala (Sinhalese),Sino-Tibetan languages,Siouan languages,Slavey-Hare languages,Slavic languages,Slovak,Slovene (Slovenian),Somali,South Slavey,Southern Tutchone,Spanish,Squamish,Stoney,Straits,Swahili,Swedish,"Tagalog (Pilipino, Filipino)",Tahltan,Tahltan languages,Tai-Kadai languages,"Tai-Kadai languages, n.i.e",Tamil,Telugu,Thai,Thompson (Ntlakapamux),Tibetan,Tibeto-Burman languages,Tigrigna,Tlingit,Tsimshian,Tsimshian languages,Turkic languages,Turkish,Tutchone languages,Ukrainian,Uralic languages,Urdu,Uyghur,Uzbek,Vietnamese,Vlaams (Flemish),Wakashan languages,Waray-Waray,Welsh,Wolof,Wu (Shanghainese),Yiddish,Yoruba
Agincourt North,5.0,0.0,275.0,0.0,0.0,5.0,0.0,0.0,250.0,75.0,5.0,0.0,125.0,0.0,920.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,65.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,9525.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,14670.0,0.0,0.0,20.0,15.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,2530.0,25.0,0.0,0.0,7070.0,25.0,1015.0,25.0,5.0,0.0,0.0,0.0,120.0,25.0,0.0,0.0,0.0,0.0,0.0,55.0,75.0,0.0,145.0,170.0,0.0,0.0,0.0,10.0,275.0,0.0,0.0,0.0,0.0,10.0,130.0,0.0,25.0,0.0,0.0,40.0,910.0,1840.0,1060.0,0.0,0.0,0.0,155.0,0.0,110.0,345.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,10.0,50.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,50.0,0.0,20.0,40.0,5.0,4215.0,25.0,0.0,50.0,260.0,0.0,0.0,0.0,28845.0,1100.0,5.0,25.0,0.0,0.0,20565.0,20570.0,0.0,0.0,0.0,0.0,0.0,7185.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,50.0,100.0,15.0,45.0,105.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,5.0,10.0,30.0,27740.0,40.0,14670.0,0.0,0.0,125.0,0.0,10.0,20.0,0.0,0.0,165.0,0.0,0.0,0.0,10.0,0.0,805.0,0.0,0.0,15.0,0.0,2435.0,50.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,5.0,25.0,310.0,5.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,5.0
Agincourt South-Malvern West,0.0,0.0,245.0,25.0,5.0,0.0,0.0,10.0,200.0,70.0,0.0,0.0,145.0,0.0,670.0,0.0,0.0,5.0,285.0,0.0,0.0,5.0,105.0,0.0,5.0,0.0,0.0,0.0,20.0,20.0,5065.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,9935.0,0.0,0.0,20.0,5.0,25.0,5.0,0.0,10.0,0.0,0.0,0.0,1195.0,5.0,0.0,0.0,7080.0,50.0,930.0,25.0,5.0,0.0,0.0,10.0,140.0,5.0,0.0,0.0,0.0,0.0,0.0,85.0,105.0,0.0,280.0,465.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,5.0,0.0,25.0,150.0,0.0,20.0,0.0,0.0,30.0,1500.0,3030.0,1705.0,0.0,0.0,0.0,200.0,0.0,335.0,605.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,80.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,65.0,0.0,20.0,70.0,5.0,4150.0,15.0,0.0,20.0,205.0,0.0,5.0,5.0,23740.0,1020.0,5.0,50.0,5.0,0.0,15510.0,15505.0,0.0,0.0,0.0,0.0,0.0,7215.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,35.0,175.0,45.0,70.0,165.0,0.0,40.0,5.0,20.0,0.0,0.0,0.0,0.0,225.0,10.0,0.0,0.0,0.0,10.0,0.0,30.0,22720.0,70.0,9955.0,0.0,0.0,280.0,5.0,10.0,20.0,0.0,0.0,175.0,0.0,0.0,0.0,10.0,5.0,560.0,0.0,0.0,5.0,0.0,1080.0,50.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,90.0,45.0,475.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,10.0
Alderwood,10.0,0.0,65.0,5.0,60.0,5.0,0.0,0.0,35.0,10.0,0.0,0.0,30.0,0.0,300.0,0.0,0.0,20.0,1700.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,20.0,25.0,5.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,130.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,15.0,0.0,0.0,7360.0,30.0,310.0,20.0,10.0,0.0,0.0,5.0,105.0,5.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,55.0,125.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,45.0,0.0,5.0,25.0,205.0,3300.0,215.0,0.0,0.0,0.0,20.0,0.0,495.0,1155.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,15.0,0.0,5.0,5.0,10.0,70.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12035.0,360.0,10.0,10.0,0.0,0.0,4210.0,4205.0,0.0,0.0,0.0,0.0,0.0,7465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,680.0,425.0,15.0,0.0,50.0,0.0,170.0,0.0,0.0,0.0,0.0,50.0,135.0,5.0,0.0,0.0,0.0,0.0,0.0,11675.0,0.0,340.0,0.0,0.0,1675.0,35.0,205.0,10.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,5.0,260.0,0.0,0.0,5.0,0.0,30.0,5.0,5.0,0.0,150.0,155.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,250.0,55.0,15.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annex,25.0,15.0,505.0,0.0,55.0,30.0,5.0,60.0,225.0,40.0,0.0,0.0,65.0,0.0,175.0,5.0,0.0,50.0,1100.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530.0,0.0,10.0,10.0,55.0,15.0,45.0,0.0,10.0,0.0,0.0,0.0,80.0,70.0,0.0,0.0,20645.0,155.0,545.0,25.0,20.0,0.0,0.0,5.0,705.0,45.0,0.0,0.0,5.0,0.0,0.0,305.0,495.0,0.0,260.0,60.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,160.0,0.0,0.0,105.0,0.0,150.0,5.0,0.0,5.0,400.0,4350.0,785.0,0.0,0.0,0.0,380.0,0.0,510.0,1605.0,175.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,420.0,5.0,0.0,0.0,5.0,35.0,0.0,0.0,15.0,25.0,0.0,25.0,10.0,0.0,745.0,10.0,5.0,0.0,45.0,0.0,0.0,0.0,29880.0,775.0,10.0,40.0,0.0,0.0,7715.0,7755.0,0.0,0.0,0.0,5.0,0.0,21355.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,365.0,255.0,375.0,50.0,0.0,115.0,5.0,330.0,0.0,0.0,0.0,0.0,490.0,150.0,25.0,5.0,0.0,5.0,0.0,5.0,29110.0,10.0,1540.0,0.0,0.0,1055.0,20.0,35.0,10.0,0.0,0.0,600.0,0.0,0.0,0.0,20.0,30.0,145.0,0.0,0.0,25.0,0.0,55.0,10.0,10.0,0.0,10.0,10.0,35.0,0.0,0.0,0.0,145.0,140.0,0.0,100.0,185.0,90.0,0.0,0.0,60.0,5.0,0.0,5.0,0.0,5.0,25.0,55.0,10.0
Banbury-Don Mills,0.0,5.0,525.0,5.0,170.0,0.0,0.0,35.0,395.0,205.0,20.0,0.0,45.0,5.0,755.0,5.0,0.0,50.0,1475.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,15.0,125.0,5.0,1405.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,3430.0,0.0,0.0,10.0,40.0,20.0,55.0,0.0,10.0,0.0,0.0,0.0,215.0,55.0,0.0,0.0,13985.0,95.0,865.0,30.0,105.0,5.0,0.0,30.0,410.0,35.0,0.0,10.0,0.0,0.0,0.0,260.0,375.0,0.0,455.0,275.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,40.0,0.0,20.0,180.0,0.0,255.0,0.0,0.0,40.0,1065.0,5835.0,2010.0,0.0,0.0,0.0,935.0,0.0,175.0,1160.0,120.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,420.0,30.0,0.0,0.0,0.0,45.0,0.0,5.0,5.0,110.0,0.0,15.0,20.0,5.0,1810.0,20.0,0.0,5.0,80.0,0.0,0.0,0.0,27480.0,1025.0,10.0,75.0,0.0,0.0,12050.0,12060.0,0.0,0.0,0.0,0.0,0.0,14390.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,895.0,190.0,125.0,40.0,0.0,465.0,0.0,330.0,0.0,0.0,0.0,0.0,510.0,405.0,35.0,5.0,0.0,10.0,10.0,150.0,26450.0,5.0,3430.0,0.0,0.0,1420.0,45.0,10.0,20.0,0.0,0.0,375.0,0.0,0.0,0.0,20.0,10.0,640.0,0.0,0.0,0.0,0.0,140.0,45.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,165.0,155.0,0.0,65.0,395.0,270.0,5.0,5.0,45.0,0.0,0.0,10.0,0.0,0.0,35.0,35.0,0.0
Bathurst Manor,0.0,5.0,400.0,5.0,40.0,0.0,0.0,10.0,110.0,30.0,5.0,0.0,65.0,0.0,1395.0,40.0,0.0,15.0,2080.0,0.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,10.0,65.0,10.0,110.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,5.0,6710.0,20.0,575.0,15.0,5.0,5.0,0.0,0.0,165.0,25.0,0.0,0.0,0.0,5.0,60.0,35.0,190.0,0.0,285.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,15.0,50.0,0.0,155.0,0.0,0.0,115.0,245.0,4920.0,550.0,0.0,0.0,0.0,305.0,0.0,800.0,1735.0,25.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,270.0,45.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,20.0,0.0,5.0,10.0,5.0,265.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,15630.0,625.0,0.0,25.0,0.0,0.0,8130.0,8140.0,0.0,0.0,0.0,0.0,0.0,6870.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,250.0,125.0,220.0,30.0,0.0,125.0,0.0,1545.0,0.0,0.0,0.0,0.0,395.0,110.0,15.0,0.0,0.0,0.0,0.0,0.0,15000.0,10.0,430.0,0.0,0.0,2065.0,20.0,10.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,1155.0,0.0,0.0,5.0,0.0,45.0,5.0,5.0,0.0,10.0,25.0,15.0,0.0,0.0,0.0,325.0,275.0,0.0,105.0,160.0,35.0,5.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,10.0,140.0,5.0
Bay Street Corridor,5.0,5.0,1220.0,5.0,25.0,0.0,5.0,25.0,1070.0,50.0,0.0,0.0,95.0,0.0,255.0,20.0,0.0,10.0,785.0,0.0,0.0,0.0,140.0,5.0,0.0,0.0,0.0,0.0,20.0,5.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440.0,0.0,5.0,15.0,25.0,40.0,15.0,0.0,5.0,0.0,0.0,0.0,170.0,30.0,0.0,0.0,10610.0,75.0,800.0,30.0,5.0,0.0,0.0,20.0,450.0,55.0,0.0,0.0,0.0,0.0,0.0,115.0,185.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,70.0,0.0,5.0,305.0,0.0,60.0,0.0,0.0,0.0,985.0,3770.0,1635.0,0.0,0.0,0.0,630.0,0.0,180.0,1005.0,290.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1120.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,25.0,0.0,55.0,25.0,0.0,4615.0,30.0,0.0,0.0,90.0,0.0,5.0,5.0,25740.0,955.0,25.0,25.0,5.0,0.0,13725.0,13725.0,0.0,0.0,0.0,0.0,0.0,11065.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,620.0,135.0,215.0,85.0,0.0,95.0,0.0,335.0,0.0,0.0,5.0,0.0,1170.0,85.0,15.0,0.0,0.0,5.0,0.0,15.0,24790.0,10.0,6450.0,0.0,0.0,780.0,15.0,0.0,30.0,0.0,0.0,535.0,0.0,0.0,0.0,5.0,0.0,190.0,0.0,0.0,40.0,0.0,100.0,20.0,35.0,0.0,5.0,5.0,20.0,0.0,0.0,0.0,180.0,140.0,0.0,75.0,90.0,295.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,5.0,60.0,20.0,10.0
Bayview Village,0.0,0.0,380.0,10.0,50.0,0.0,5.0,15.0,325.0,165.0,5.0,0.0,65.0,0.0,495.0,15.0,0.0,25.0,685.0,0.0,0.0,0.0,70.0,5.0,5.0,0.0,0.0,5.0,25.0,0.0,2110.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4895.0,0.0,0.0,15.0,30.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,145.0,25.0,0.0,0.0,7380.0,45.0,650.0,40.0,20.0,0.0,0.0,15.0,200.0,30.0,0.0,0.0,0.0,0.0,0.0,80.0,140.0,0.0,115.0,60.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,25.0,0.0,5.0,95.0,0.0,110.0,0.0,5.0,20.0,435.0,5060.0,2865.0,0.0,0.0,0.0,2420.0,0.0,105.0,1060.0,120.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1395.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,35.0,0.0,45.0,20.0,5.0,2415.0,15.0,0.0,5.0,110.0,0.0,5.0,15.0,21255.0,755.0,15.0,45.0,0.0,0.0,12915.0,12920.0,0.0,0.0,0.0,0.0,0.0,7580.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,2385.0,75.0,130.0,30.0,0.0,355.0,0.0,340.0,0.0,0.0,0.0,0.0,365.0,55.0,10.0,5.0,0.0,5.0,0.0,10.0,20505.0,35.0,4895.0,0.0,0.0,655.0,5.0,10.0,5.0,0.0,0.0,470.0,0.0,0.0,0.0,20.0,0.0,410.0,0.0,0.0,10.0,0.0,90.0,15.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,130.0,100.0,0.0,45.0,150.0,90.0,5.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0
Bayview Woods-Steeles,0.0,0.0,165.0,15.0,25.0,0.0,0.0,5.0,130.0,85.0,0.0,0.0,65.0,0.0,140.0,20.0,0.0,10.0,435.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,1475.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3690.0,0.0,0.0,15.0,20.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,95.0,15.0,0.0,0.0,4575.0,30.0,370.0,35.0,10.0,0.0,0.0,10.0,120.0,20.0,0.0,0.0,0.0,0.0,0.0,85.0,165.0,0.0,115.0,45.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25.0,0.0,5.0,40.0,0.0,95.0,0.0,0.0,15.0,230.0,2525.0,1215.0,0.0,0.0,0.0,990.0,0.0,150.0,475.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,25.0,10.0,0.0,2010.0,5.0,0.0,5.0,60.0,0.0,0.0,5.0,12740.0,455.0,5.0,30.0,0.0,0.0,7590.0,7590.0,0.0,0.0,0.0,0.0,0.0,4695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,970.0,55.0,50.0,25.0,0.0,150.0,0.0,235.0,0.0,0.0,0.0,0.0,150.0,40.0,5.0,0.0,0.0,0.0,0.0,5.0,12290.0,10.0,3695.0,0.0,0.0,430.0,0.0,0.0,15.0,0.0,0.0,125.0,0.0,0.0,0.0,15.0,0.0,95.0,0.0,0.0,0.0,0.0,70.0,10.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,75.0,65.0,0.0,15.0,125.0,60.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
Bedford Park-Nortown,0.0,0.0,300.0,0.0,45.0,0.0,0.0,0.0,65.0,55.0,0.0,0.0,15.0,0.0,1175.0,5.0,0.0,10.0,670.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,280.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,620.0,0.0,0.0,5.0,25.0,5.0,25.0,0.0,20.0,0.0,0.0,0.0,10.0,35.0,0.0,0.0,16805.0,40.0,510.0,20.0,10.0,0.0,0.0,25.0,300.0,15.0,0.0,0.0,0.0,0.0,5.0,205.0,515.0,0.0,195.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,225.0,0.0,30.0,30.0,0.0,180.0,0.0,0.0,80.0,100.0,2910.0,465.0,0.0,0.0,0.0,360.0,0.0,390.0,950.0,30.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,145.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,5.0,0.0,5.0,290.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,23215.0,590.0,5.0,20.0,0.0,0.0,5520.0,5520.0,0.0,0.0,0.0,10.0,0.0,17100.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,350.0,115.0,95.0,10.0,0.0,95.0,0.0,305.0,0.0,0.0,0.0,0.0,300.0,70.0,5.0,0.0,0.0,5.0,5.0,0.0,22630.0,0.0,620.0,0.0,0.0,655.0,5.0,10.0,5.0,0.0,0.0,355.0,0.0,0.0,0.0,5.0,0.0,985.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,90.0,70.0,0.0,45.0,215.0,20.0,0.0,5.0,15.0,5.0,0.0,0.0,5.0,0.0,0.0,265.0,0.0
