neighbourhood,crime_type,year,population,crime_count,crime_rate
Agincourt North,Assault,2014,30462,67,219.9462
Agincourt North,Assault,2015,30164,77,255.2712
Agincourt North,Assault,2016,29955,78,260.3906
Agincourt North,Assault,2017,30353,73,240.5034
Agincourt North,Assault,2018,30797,80,259.7656
Agincourt North,Assault,2019,31216,81,259.4823
Agincourt North,Assault,2020,31618,69,218.2301
Agincourt North,Auto Theft,2014,30462,17,55.80724
Agincourt North,Auto Theft,2015,30164,29,96.1411
Agincourt North,Auto Theft,2016,29955,16,53.41345
Agincourt North,Auto Theft,2017,30353,32,105.4262
Agincourt North,Auto Theft,2018,30797,42,136.3769
Agincourt North,Auto Theft,2019,31216,42,134.5464
Agincourt North,Auto Theft,2020,31618,58,183.4398
Agincourt North,Burglary,2014,30462,46,151.0078
Agincourt North,Burglary,2015,30164,53,175.7061
Agincourt North,Burglary,2016,29955,49,163.5787
Agincourt North,Burglary,2017,30353,49,161.4338
Agincourt North,Burglary,2018,30797,69,224.0478
Agincourt North,Burglary,2019,31216,56,179.3952
Agincourt North,Burglary,2020,31618,17,53.76684
Agincourt North,Homicide,2014,30462,0,0.0
Agincourt North,Homicide,2015,30164,0,0.0
Agincourt North,Homicide,2016,29955,0,0.0
Agincourt North,Homicide,2017,30353,0,0.0
Agincourt North,Homicide,2018,30797,1,0.0
Agincourt North,Homicide,2019,31216,0,0.0
Agincourt North,Homicide,2020,31618,0,0.0
Agincourt North,Robbery,2014,30462,34,111.6145
Agincourt North,Robbery,2016,29955,13,43.39843
Agincourt North,Robbery,2017,30353,22,72.48048
Agincourt North,Robbery,2018,30797,43,139.624
Agincourt North,Robbery,2019,31216,37,118.529
Agincourt North,Robbery,2020,31618,17,53.76684
Agincourt North,Shootings,2014,30462,0,0.0
Agincourt North,Shootings,2015,30164,0,0.0
Agincourt North,Shootings,2016,29955,0,0.0
Agincourt North,Shootings,2017,30353,1,3.294567
Agincourt North,Shootings,2018,30797,0,0.0
Agincourt North,Shootings,2019,31216,2,6.4069709999999995
Agincourt North,Shootings,2020,31618,2,6.325511
Agincourt North,Theft Over,2014,30462,1,3.282779
Agincourt North,Theft Over,2015,30164,6,19.89126
Agincourt North,Theft Over,2016,29955,5,16.6917
Agincourt North,Theft Over,2017,30353,11,36.24024
Agincourt North,Theft Over,2018,30797,4,12.98828
Agincourt North,Theft Over,2019,31216,2,6.4069709999999995
Agincourt North,Theft Over,2020,31618,5,15.81378
Agincourt South-Malvern West,Assault,2014,23836,104,436.3148
Agincourt South-Malvern West,Assault,2015,24136,103,426.7484
Agincourt South-Malvern West,Assault,2016,24521,133,542.3922
Agincourt South-Malvern West,Assault,2017,25220,111,440.1269
Agincourt South-Malvern West,Assault,2018,25957,118,454.598
Agincourt South-Malvern West,Assault,2019,26683,121,453.4723
Agincourt South-Malvern West,Assault,2020,27406,132,481.6464
Agincourt South-Malvern West,Auto Theft,2014,23836,32,134.2507
Agincourt South-Malvern West,Auto Theft,2015,24136,29,120.1525
Agincourt South-Malvern West,Auto Theft,2016,24521,27,110.1097
Agincourt South-Malvern West,Auto Theft,2017,25220,34,134.8136
Agincourt South-Malvern West,Auto Theft,2018,25957,38,146.39600000000002
Agincourt South-Malvern West,Auto Theft,2019,26683,58,217.3669
Agincourt South-Malvern West,Auto Theft,2020,27406,63,229.8767
Agincourt South-Malvern West,Burglary,2014,23836,73,306.2594
Agincourt South-Malvern West,Burglary,2015,24136,60,248.5913
Agincourt South-Malvern West,Burglary,2016,24521,61,248.7664
Agincourt South-Malvern West,Burglary,2017,25220,92,364.7899
Agincourt South-Malvern West,Burglary,2018,25957,93,358.2849
Agincourt South-Malvern West,Burglary,2019,26683,100,374.7704
Agincourt South-Malvern West,Burglary,2020,27406,82,299.2046
Agincourt South-Malvern West,Homicide,2014,23836,0,0.0
Agincourt South-Malvern West,Homicide,2015,24136,0,0.0
Agincourt South-Malvern West,Homicide,2016,24521,0,0.0
Agincourt South-Malvern West,Homicide,2017,25220,0,0.0
Agincourt South-Malvern West,Homicide,2018,25957,1,0.0
Agincourt South-Malvern West,Homicide,2019,26683,0,0.0
Agincourt South-Malvern West,Homicide,2020,27406,2,7.297672
Agincourt South-Malvern West,Robbery,2014,23836,25,104.8834
Agincourt South-Malvern West,Robbery,2016,24521,21,85.64088000000001
Agincourt South-Malvern West,Robbery,2017,25220,33,130.8485
Agincourt South-Malvern West,Robbery,2018,25957,33,127.1333
Agincourt South-Malvern West,Robbery,2019,26683,29,108.6834
Agincourt South-Malvern West,Robbery,2020,27406,18,65.67905
Agincourt South-Malvern West,Shootings,2014,23836,0,0.0
Agincourt South-Malvern West,Shootings,2015,24136,1,4.143187999999999
Agincourt South-Malvern West,Shootings,2016,24521,3,12.23441
Agincourt South-Malvern West,Shootings,2017,25220,4,15.86043
Agincourt South-Malvern West,Shootings,2018,25957,5,19.26263
Agincourt South-Malvern West,Shootings,2019,26683,2,7.495409
Agincourt South-Malvern West,Shootings,2020,27406,1,3.648836
Agincourt South-Malvern West,Theft Over,2014,23836,19,79.71136
Agincourt South-Malvern West,Theft Over,2015,24136,9,37.2887
Agincourt South-Malvern West,Theft Over,2016,24521,12,48.93764
Agincourt South-Malvern West,Theft Over,2017,25220,13,51.54639
Agincourt South-Malvern West,Theft Over,2018,25957,10,38.52525
Agincourt South-Malvern West,Theft Over,2019,26683,15,56.21556999999999
Agincourt South-Malvern West,Theft Over,2020,27406,8,29.190690000000004
Alderwood,Assault,2014,12368,45,363.8422
Alderwood,Assault,2015,12383,47,379.5526
Alderwood,Assault,2016,12427,39,313.8328
Alderwood,Assault,2017,12619,21,166.4157
Alderwood,Assault,2018,12844,30,233.5721
Alderwood,Assault,2019,13051,36,275.8409
Alderwood,Assault,2020,13242,37,279.414
Alderwood,Auto Theft,2014,12368,9,72.76843000000001
Alderwood,Auto Theft,2015,12383,18,145.3606
Alderwood,Auto Theft,2016,12427,17,136.7989
Alderwood,Auto Theft,2017,12619,14,110.9438
Alderwood,Auto Theft,2018,12844,25,194.6434
Alderwood,Auto Theft,2019,13051,14,107.2715
Alderwood,Auto Theft,2020,13242,28,211.4484
Alderwood,Burglary,2014,12368,18,145.5369
Alderwood,Burglary,2015,12383,28,226.1165
Alderwood,Burglary,2016,12427,26,209.2219
Alderwood,Burglary,2017,12619,23,182.2648
Alderwood,Burglary,2018,12844,23,179.0719
Alderwood,Burglary,2019,13051,26,199.2184
Alderwood,Burglary,2020,13242,43,324.7244
Alderwood,Homicide,2014,12368,1,8.08538163001294
Alderwood,Homicide,2015,12383,0,0.0
Alderwood,Homicide,2016,12427,0,0.0
Alderwood,Homicide,2017,12619,0,0.0
Alderwood,Homicide,2018,12844,0,0.0
Alderwood,Homicide,2019,13051,0,0.0
Alderwood,Homicide,2020,13242,0,0.0
Alderwood,Robbery,2014,12368,8,64.68305
Alderwood,Robbery,2016,12427,10,80.46995
Alderwood,Robbery,2017,12619,6,47.54735
Alderwood,Robbery,2018,12844,8,62.28589
Alderwood,Robbery,2019,13051,5,38.311240000000005
Alderwood,Robbery,2020,13242,12,90.62075
Alderwood,Shootings,2014,12368,2,16.17076
Alderwood,Shootings,2015,12383,0,0.0
Alderwood,Shootings,2016,12427,0,0.0
Alderwood,Shootings,2017,12619,0,0.0
Alderwood,Shootings,2018,12844,0,0.0
Alderwood,Shootings,2019,13051,1,7.662248
Alderwood,Shootings,2020,13242,0,0.0
Alderwood,Theft Over,2014,12368,7,56.597669999999994
Alderwood,Theft Over,2015,12383,3,24.22676
Alderwood,Theft Over,2016,12427,10,80.46995
Alderwood,Theft Over,2017,12619,7,55.47191
Alderwood,Theft Over,2018,12844,7,54.50016
Alderwood,Theft Over,2019,13051,7,53.635740000000006
Alderwood,Theft Over,2020,13242,5,37.75865
Annex,Assault,2014,31182,242,776.0887
Annex,Assault,2015,31384,255,812.5159
Annex,Assault,2016,31688,279,880.4595
Annex,Assault,2017,32407,280,864.0109
Annex,Assault,2018,66326,269,811.145
Annex,Assault,2019,33924,305,899.0685
Annex,Assault,2020,34680,275,792.9642
Annex,Auto Theft,2014,31182,16,51.31165
Annex,Auto Theft,2015,31384,14,44.60872
Annex,Auto Theft,2016,31688,21,66.27114
Annex,Auto Theft,2017,32407,24,74.05807
Annex,Auto Theft,2018,66326,34,102.5239
Annex,Auto Theft,2019,33924,29,85.4852
Annex,Auto Theft,2020,34680,37,106.6897
Annex,Burglary,2014,31182,156,500.2886
Annex,Burglary,2015,31384,109,347.3107
Annex,Burglary,2016,31688,124,391.3153
Annex,Burglary,2017,32407,117,361.0331
Annex,Burglary,2018,66326,173,521.6657
Annex,Burglary,2019,33924,212,624.9263
Annex,Burglary,2020,34680,203,585.3518
Annex,Homicide,2014,31182,0,0.0
Annex,Homicide,2015,31384,0,0.0
Annex,Homicide,2016,31688,0,0.0
Annex,Homicide,2017,32407,0,0.0
Annex,Homicide,2018,66326,2,3.015409
Annex,Homicide,2019,33924,1,2.947766
Annex,Homicide,2020,34680,0,0.0
Annex,Robbery,2014,31182,48,153.935
Annex,Robbery,2016,31688,47,148.3211
Annex,Robbery,2017,32407,67,206.7455
Annex,Robbery,2018,66326,49,147.755
Annex,Robbery,2019,33924,39,114.9629
Annex,Robbery,2020,34680,44,126.8743
Annex,Shootings,2014,31182,0,0.0
Annex,Shootings,2015,31384,0,0.0
Annex,Shootings,2016,31688,5,15.77884
Annex,Shootings,2017,32407,1,3.085753
Annex,Shootings,2018,66326,2,6.030818
Annex,Shootings,2019,33924,1,2.947766
Annex,Shootings,2020,34680,0,0.0
Annex,Theft Over,2014,31182,23,73.76051
Annex,Theft Over,2015,31384,19,60.5404
Annex,Theft Over,2016,31688,22,69.42690999999999
Annex,Theft Over,2017,32407,31,95.65835
Annex,Theft Over,2018,66326,46,138.7088
Annex,Theft Over,2019,33924,41,120.8584
Annex,Theft Over,2020,34680,33,95.15571
Banbury-Don Mills,Assault,2014,28135,60,213.2575
Banbury-Don Mills,Assault,2015,28226,77,272.7981
Banbury-Don Mills,Assault,2016,28430,86,302.4974
Banbury-Don Mills,Assault,2017,29088,111,381.6006
Banbury-Don Mills,Assault,2018,29795,77,258.4326
Banbury-Don Mills,Assault,2019,30475,73,239.5406
Banbury-Don Mills,Assault,2020,31186,83,266.1451
Banbury-Don Mills,Auto Theft,2014,28135,19,67.53155
Banbury-Don Mills,Auto Theft,2015,28226,19,67.31383000000001
Banbury-Don Mills,Auto Theft,2016,28430,6,21.104470000000003
Banbury-Don Mills,Auto Theft,2017,29088,16,55.0055
Banbury-Don Mills,Auto Theft,2018,29795,28,93.9755
Banbury-Don Mills,Auto Theft,2019,30475,44,144.3806
Banbury-Don Mills,Auto Theft,2020,31186,49,157.1218
Banbury-Don Mills,Burglary,2014,28135,65,231.029
Banbury-Don Mills,Burglary,2015,28226,87,308.2265
Banbury-Don Mills,Burglary,2016,28430,57,200.4924
Banbury-Don Mills,Burglary,2017,29088,64,220.022
Banbury-Don Mills,Burglary,2018,29795,85,285.2828
Banbury-Don Mills,Burglary,2019,30475,81,265.7916
