neighbourhood,Average after-tax income of households in 2015 ($),Land area in square kilometres,population
Agincourt North,427037.0,7.41,31618.0
Agincourt South-Malvern West,278390.0,7.83,27406.0
Alderwood,168602.0,4.95,13242.0
Annex,792507.0,2.81,34680.0
Banbury-Don Mills,493486.0,9.98,31186.0
Bathurst Manor,251583.0,4.7,17628.0
Bay Street Corridor,352218.0,1.83,32790.0
Bayview Village,354894.0,5.1,24799.0
Bayview Woods-Steeles,253036.0,4.06,14020.0
Bedford Park-Nortown,720203.0,5.52,26015.0
Beechborough-Greenbrook,109880.0,1.82,7130.0
Bendale,326482.0,7.47,32770.0
Birchcliffe-Cliffside,369161.0,5.92,24182.0
Black Creek,261560.0,3.46,23206.0
Blake-Jones,154132.0,0.95,8287.0
Briar Hill-Belgravia,190243.0,1.83,15448.0
Bridle Path-Sunnybrook-York Mills,1392010.0,8.91,10942.0
Broadview North,126349.0,1.7,12372.0
Brookhaven-Amesbury,176688.0,3.52,18892.0
Cabbagetown-South St. James Town,301145.0,1.4,12655.0
Caledonia-Fairbank,132879.0,1.54,10729.0
Casa Loma,545338.0,1.93,12334.0
Centennial Scarborough,215135.0,5.39,14672.0
Church-Yonge Corridor,443734.0,1.36,39279.0
City of Toronto,81495.0,630.2,
Clairlea-Birchmount,350777.0,7.43,29302.0
Clanton Park,168893.0,4.14,18742.0
Cliffcrest,248846.0,7.01,17715.0
Corso Italia-Davenport,304000.0,1.89,15139.0
Danforth,260052.0,1.13,10353.0
Danforth East York,334260.0,2.18,18427.0
Don Valley Village,414411.0,4.2,29406.0
Dorset Park,251476.0,6.03,27051.0
Dovercourt-Wallace Emerson-Junction,594477.0,3.73,40355.0
Downsview-Roding-CFB,562794.0,15.0,38981.0
Dufferin Grove,128586.0,1.38,12858.0
East End-Danforth,304010.0,2.66,23112.0
Edenbridge-Humber Valley,441052.0,5.47,17619.0
Eglinton East,343031.0,3.23,24885.0
Elms-Old Rexdale,123119.0,2.86,10045.0
Englemount-Lawrence,293189.0,3.46,25089.0
Eringate-Centennial-West Deane,352269.0,8.56,19924.0
Etobicoke West Mall,132460.0,1.8,13072.0
Flemingdon Park,261233.0,2.43,23505.0
Forest Hill North,258469.0,1.59,13588.0
Forest Hill South,784645.0,2.45,12450.0
Glenfield-Jane Heights,410012.0,5.2,33031.0
Greenwood-Coxwell,216423.0,1.68,15470.0
Guildwood,177062.0,3.71,10679.0
Henry Farm,202357.0,2.6,22545.0
High Park North,496958.0,1.89,24557.0
High Park-Swansea,483620.0,4.89,26494.0
Highland Creek,196620.0,5.2,13943.0
Hillcrest Village,298716.0,5.38,18349.0
Humber Heights-Westmount,238655.0,2.75,12325.0
Humber Summit,202677.0,7.91,13458.0
Humbermede,184459.0,4.36,16794.0
Humewood-Cedarvale,289910.0,1.87,15854.0
Ionview,169046.0,1.94,14407.0
Islington-City Centre West,854623.0,16.21,51481.0
Junction Area,310473.0,2.64,15623.0
Keelesdale-Eglinton West,184802.0,1.71,12050.0
Kennedy Park,229390.0,3.59,18407.0
Kensington-Chinatown,222404.0,1.52,21196.0
Kingsview Village-The Westway,272950.0,5.05,23318.0
