country,neighbourhood,count
Afghanistan,Agincourt North,10
Afghanistan,Agincourt South-Malvern West,10
Afghanistan,Alderwood,0
Afghanistan,Annex,0
Afghanistan,Banbury-Don Mills,0
Afghanistan,Bathurst Manor,15
Afghanistan,Bay Street Corridor,0
Afghanistan,Bayview Village,0
Afghanistan,Bayview Woods-Steeles,0
Afghanistan,Bedford Park-Nortown,0
Afghanistan,Beechborough-Greenbrook,0
Afghanistan,Bendale,60
Afghanistan,Birchcliffe-Cliffside,0
Afghanistan,Black Creek,0
Afghanistan,Blake-Jones,0
Afghanistan,Briar Hill-Belgravia,0
Afghanistan,Bridle Path-Sunnybrook-York Mills,0
Afghanistan,Broadview North,25
Afghanistan,Brookhaven-Amesbury,10
Afghanistan,Cabbagetown-South St. James Town,0
Afghanistan,Caledonia-Fairbank,0
Afghanistan,Casa Loma,0
Afghanistan,Centennial Scarborough,10
Afghanistan,Church-Yonge Corridor,0
Afghanistan,City of Toronto,3170
Afghanistan,Clairlea-Birchmount,45
Afghanistan,Clanton Park,0
Afghanistan,Cliffcrest,0
Afghanistan,Corso Italia-Davenport,0
Afghanistan,Danforth,10
Afghanistan,Danforth East York,0
Afghanistan,Don Valley Village,150
Afghanistan,Dorset Park,75
Afghanistan,Dovercourt-Wallace Emerson-Junction,10
Afghanistan,Downsview-Roding-CFB,25
Afghanistan,Dufferin Grove,0
Afghanistan,East End-Danforth,0
Afghanistan,Edenbridge-Humber Valley,10
Afghanistan,Eglinton East,155
Afghanistan,Elms-Old Rexdale,40
Afghanistan,Englemount-Lawrence,0
Afghanistan,Eringate-Centennial-West Deane,0
Afghanistan,Etobicoke West Mall,10
Afghanistan,Flemingdon Park,305
Afghanistan,Forest Hill North,25
Afghanistan,Forest Hill South,0
Afghanistan,Glenfield-Jane Heights,50
Afghanistan,Greenwood-Coxwell,0
Afghanistan,Guildwood,10
Afghanistan,Henry Farm,115
Afghanistan,High Park North,0
Afghanistan,High Park-Swansea,0
Afghanistan,Highland Creek,0
Afghanistan,Hillcrest Village,20
Afghanistan,Humber Heights-Westmount,0
Afghanistan,Humber Summit,10
Afghanistan,Humbermede,0
Afghanistan,Humewood-Cedarvale,0
Afghanistan,Ionview,30
Afghanistan,Islington-City Centre West,0
Afghanistan,Junction Area,0
Afghanistan,Keelesdale-Eglinton West,0
Afghanistan,Kennedy Park,10
Afghanistan,Kensington-Chinatown,0
Afghanistan,Kingsview Village-The Westway,65
Afghanistan,Kingsway South,0
Afghanistan,L'Amoreaux,30
Afghanistan,Lambton Baby Point,0
Afghanistan,Lansing-Westgate,0
Afghanistan,Lawrence Park North,0
Afghanistan,Lawrence Park South,0
Afghanistan,Leaside-Bennington,0
Afghanistan,Little Portugal,0
Afghanistan,Long Branch,0
Afghanistan,Malvern,40
Afghanistan,Maple Leaf,0
Afghanistan,Markland Wood,0
Afghanistan,Milliken,0
Afghanistan,Mimico (includes Humber Bay Shores),10
Afghanistan,Morningside,20
Afghanistan,Moss Park,10
Afghanistan,Mount Dennis,0
Afghanistan,Mount Olive-Silverstone-Jamestown,85
Afghanistan,Mount Pleasant East,0
Afghanistan,Mount Pleasant West,0
Afghanistan,New Toronto,0
Afghanistan,Newtonbrook East,20
Afghanistan,Newtonbrook West,20
Afghanistan,Niagara,0
Afghanistan,North Riverdale,0
Afghanistan,North St. James Town,10
Afghanistan,O'Connor-Parkview,85
Afghanistan,Oakridge,110
Afghanistan,Oakwood Village,0
Afghanistan,Old East York,0
