neighbourhood,crime_count,population_2020,overall_crime_rate,Land area in square kilometres,total_language_population,shannon_diversity,population_density,Average after-tax income of households in 2015 ($)
Agincourt North,168,31618,531.3429059396547,7.41,28845,4.799994374086348,4266.93657219973,427037.0
Agincourt South-Malvern West,306,27406,1116.543822520616,7.83,23740,5.494087647903304,3500.1277139208173,278390.0
Alderwood,125,13242,943.9661682525299,4.95,12035,4.893117247896706,2675.151515151515,168602.0
Annex,592,34680,1707.0357554786622,2.81,29880,4.326749808018857,12341.637010676157,792507.0
Banbury-Don Mills,190,31186,609.2477393702302,9.98,27480,5.816395341192889,3124.8496993987974,493486.0
Bathurst Manor,146,17628,828.2278193782619,4.7,15630,5.999904393667663,3750.6382978723404,251583.0
Bay Street Corridor,899,32790,2741.6895394937483,1.83,25740,5.746663799388796,17918.032786885244,352218.0
Bayview Village,159,24799,641.1548852776322,5.1,21255,6.035972108602876,4862.549019607844,354894.0
Bayview Woods-Steeles,85,14020,606.2767475035664,4.06,12740,5.861330053418119,3453.20197044335,253036.0
Bedford Park-Nortown,220,26015,845.6659619450318,5.52,23215,3.9189182618890945,4712.86231884058,720203.0
Beechborough-Greenbrook,80,7130,1122.0196353436186,1.82,6375,4.906061722309346,3917.5824175824173,109880.0
Bendale,343,32770,1046.6890448581019,7.47,29510,6.142843084315412,4386.880856760375,326482.0
Birchcliffe-Cliffside,234,24182,967.6618972789678,5.92,21870,3.7001764723404196,4084.7972972972975,369161.0
Black Creek,450,23206,1939.1536671550462,3.46,21560,5.761836203010905,6706.936416184971,261560.0
Blake-Jones,102,8287,1230.8434898033065,0.95,7685,4.665969098094242,8723.157894736842,154132.0
Briar Hill-Belgravia,188,15448,1216.9860176074574,1.83,14215,5.636734176348343,8441.530054644809,190243.0
Bridle Path-Sunnybrook-York Mills,108,10942,987.0224821787607,8.91,9240,4.614702805716555,1228.0583613916947,1392010.0
Broadview North,103,12372,832.5250565793727,1.7,11380,5.133348218607391,7277.64705882353,126349.0
